County,Population
Adams,67103
Alexander,8238
Bond,17768
Boone,54165
Brown,6937
Bureau,34978
Calhoun,5089
Carroll,15387
Cass,13642
Champaign,201081
Christian,34800
Clark,16335
Clay,13815
Clinton,37762
Coles,53873
Cook,5194675
Crawford,19817
Cumberland,11048
DeKalb,105160
De Witt,16561
Douglas,19980
DuPage,916924
Edgar,18576
Edwards,6721
Effingham,34242
Fayette,22140
Ford,14081
Franklin,39561
Fulton,37069
Gallatin,5589
Greene,13886
Grundy,50063
Hamilton,8457
Hancock,19104
Hardin,4320
Henderson,7331
Henry,50486
Iroquois,29718
Jackson,60218
Jasper,9698
Jefferson,38827
Jersey,22985
Jo Daviess,22678
Johnson,12582
Kane,515269
Kankakee,113449
Kendall,114736
Knox,52919
Lake,703462
La Salle,113924
Lawrence,16833
Lee,36031
Livingston,38950
Logan,30305
McDonough,32612
McHenry,308760
McLean,169572
Macon,110768
Macoupin,47765
Madison,269282
Marion,39437
Marshall,12640
Mason,14666
Massac,15429
Menard,12705
Mercer,16434
Monroe,32957
Montgomery,30104
Morgan,35547
Moultrie,14846
Ogle,53497
Peoria,186494
Perry,22350
Piatt,16729
Pike,16430
Pope,4470
Pulaski,6161
Putnam,6006
Randolph,33476
Richland,16233
Rock Island,147546
St. Clair,270056
Saline,24913
Sangamon,197465
Schuyler,7544
Scott,5355
Shelby,22363
Stark,5994
Stephenson,47711
Tazewell,135394
Union,17808
Vermilion,81625
Wabash,11947
Warren,17707
Washington,14716
Wayne,16760
White,14665
Whiteside,58498
Will,677560
Williamson,66357
Winnebago,295266
Woodford,38664